Campaign_ID,Campaign_Type,Target_Audience,Duration,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Profit_Flag,Email,Facebook,Google,Instagram,WhatsApp,YouTube
NY-CMP-1049,SEO,Working Women,14.0,41687.0,2215.0,911.0,568.0,358408.0,277.67,128976.96186120216,English,8.86,Working Women,2025-03-04,1,0,0,1,0,0,0
NY-CMP-1050,Paid Ads,Working Women,30.0,67932.0,9449.0,5194.0,3230.0,839800.0,33.28,2523337.5,English,26.31,Working Women,2024-11-04,1,0,1,0,0,1,0
NY-CMP-1056,Influencer,Working Women,11.0,72001.0,8840.0,2425.0,1271.0,846486.0,54.74,1546275.5937157471,English,17.41,Tier 2 City Customers,2024-07-27,1,1,1,0,0,0,0
NY-CMP-1058,Influencer,College Students,28.0,24558.0,1700.0,671.0,326.0,235698.0,189.39,124351.13258355774,Tamil,10.98,Tier 2 City Customers,2025-02-13,1,0,0,1,1,0,0
NY-CMP-1059,Email,Tier 2 City Customers,12.0,51784.0,3169.0,1762.0,1042.0,803382.0,141.09,569311.0142462258,Bengali,11.53,Tier 2 City Customers,2025-03-11,1,1,0,0,1,0,1
NY-CMP-1060,SEO,Tier 2 City Customers,12.0,61841.0,6086.0,2165.0,1542.0,1201218.0,38.2,3144449.738219895,Bengali,15.84,College Students,2025-01-10,1,0,1,1,0,0,1
NY-CMP-1061,SEO,Youth,5.0,80683.0,2154.0,985.0,786.0,248376.0,244.18,101618.40445572938,Bengali,4.86,Youth,2025-04-30,1,1,0,0,0,0,0
NY-CMP-1064,SEO,College Students,13.0,34565.0,819.0,304.0,211.0,137150.0,1099.71,12371.469751116205,Hindi,3.86,Youth,2025-05-28,0,0,0,0,0,1,1
NY-CMP-1067,Social Media,Youth,6.0,36769.0,2948.0,797.0,370.0,237170.0,576.24,41058.19797306678,Tamil,11.19,Premium Shoppers,2025-02-06,1,0,1,0,0,1,1
NY-CMP-1068,Email,College Students,26.0,59910.0,3712.0,1431.0,951.0,427950.0,303.73,140798.1661343957,English,10.17,Working Women,2025-03-25,1,0,0,0,0,1,0
NY-CMP-1072,Influencer,College Students,17.0,73165.0,5735.0,2225.0,1582.0,1170680.0,143.08,818099.6086105674,Tamil,13.04,College Students,2024-12-27,1,0,0,1,0,0,1
NY-CMP-1077,Social Media,Premium Shoppers,13.0,37745.0,1091.0,361.0,114.0,45030.0,1000.73,4399.7152078982335,English,4.15,Working Women,2025-02-23,0,0,0,0,1,1,1
NY-CMP-1078,Email,Working Women,26.0,41410.0,905.0,449.0,156.0,75504.0,1252.69,5927.349144640732,Bengali,3.65,Premium Shoppers,2024-07-20,0,0,1,1,1,0,0
NY-CMP-1082,Social Media,Tier 2 City Customers,11.0,10613.0,1093.0,468.0,344.0,73272.0,693.71,10462.338729440255,Hindi,17.95,Working Women,2025-05-09,0,0,0,1,0,0,0
NY-CMP-1086,Influencer,College Students,16.0,45406.0,2768.0,1052.0,747.0,511695.0,321.69,158964.62743635176,Bengali,10.06,Youth,2024-09-29,1,0,1,0,1,0,0
NY-CMP-1087,Social Media,College Students,5.0,48041.0,2478.0,1229.0,553.0,311892.0,511.7,60852.120383036934,English,8.87,College Students,2025-06-20,1,0,0,1,1,0,0
NY-CMP-1088,Social Media,Working Women,30.0,84207.0,6175.0,1941.0,1352.0,461032.0,214.63,214703.1496062992,Bengali,11.24,Working Women,2024-10-29,1,1,1,0,1,0,0
NY-CMP-1089,Social Media,Youth,16.0,77548.0,1844.0,706.0,226.0,72772.0,1072.32,6686.407042673828,Hindi,3.58,Tier 2 City Customers,2024-08-27,0,0,0,1,0,1,0
NY-CMP-1091,SEO,Tier 2 City Customers,21.0,37600.0,2906.0,1624.0,1006.0,690116.0,253.33,272317.79497098643,English,14.72,Premium Shoppers,2025-04-10,1,0,0,0,0,0,1
NY-CMP-1092,Social Media,College Students,7.0,32302.0,1239.0,367.0,156.0,124800.0,1295.52,9533.197480548351,Hindi,5.45,Tier 2 City Customers,2025-04-12,0,0,0,1,1,1,0
NY-CMP-1095,Paid Ads,Working Women,29.0,73403.0,7231.0,1683.0,766.0,311762.0,337.92,92159.11458333334,English,13.19,Youth,2024-08-11,1,0,1,1,1,0,0
NY-CMP-1098,SEO,Working Women,21.0,96239.0,3852.0,2172.0,1568.0,460992.0,110.5,417087.3303167421,English,7.89,Working Women,2024-11-19,1,1,0,0,0,0,0
NY-CMP-1101,Influencer,Working Women,24.0,91963.0,9000.0,4091.0,1250.0,507500.0,150.39,337355.9478688743,Hindi,15.59,Youth,2025-01-07,1,0,1,1,0,0,0
NY-CMP-1102,Social Media,Tier 2 City Customers,10.0,41454.0,6034.0,2744.0,1271.0,441037.0,64.77,680827.8987185425,Tamil,24.24,Premium Shoppers,2024-10-20,1,1,1,0,1,0,0
NY-CMP-1103,Paid Ads,Premium Shoppers,27.0,62808.0,3704.0,743.0,431.0,286615.0,207.69,137901.34816312775,Bengali,7.77,Working Women,2025-03-21,1,0,0,1,0,1,1
NY-CMP-1105,SEO,Premium Shoppers,23.0,78393.0,10859.0,4614.0,2346.0,1381794.0,48.99,2820463.38028169,Bengali,22.73,Working Women,2024-08-23,1,1,0,0,0,1,0
NY-CMP-1106,SEO,Youth,16.0,36778.0,2873.0,976.0,338.0,240656.0,547.44,43860.25135174631,Hindi,11.38,Tier 2 City Customers,2024-11-05,1,0,0,1,0,0,0
NY-CMP-1111,Influencer,College Students,16.0,32725.0,917.0,353.0,262.0,133096.0,277.31,47895.38422703833,Bengali,4.68,Premium Shoppers,2025-05-27,1,0,0,1,0,0,0
NY-CMP-1112,Social Media,Tier 2 City Customers,6.0,37912.0,2193.0,1175.0,779.0,555427.0,69.68,797011.0792192881,Bengali,10.94,Working Women,2025-06-19,1,0,1,1,0,0,0
NY-CMP-1113,Influencer,Youth,28.0,84684.0,6830.0,3006.0,2183.0,1403669.0,37.23,3770163.2285791035,English,14.19,Working Women,2024-09-13,1,0,1,0,1,1,0
NY-CMP-1115,Influencer,Working Women,10.0,71767.0,10510.0,5442.0,3276.0,1539720.0,60.15,2559700.4987531174,Bengali,26.79,Working Women,2025-05-10,1,0,1,0,0,1,0
NY-CMP-1116,Paid Ads,College Students,17.0,92095.0,9825.0,4595.0,2248.0,1717472.0,34.81,4933746.595805802,English,18.1,Working Women,2024-08-23,1,0,1,0,0,1,1
NY-CMP-1119,Email,Premium Shoppers,15.0,46818.0,3423.0,2031.0,1219.0,884994.0,154.12,574123.9813132624,Tamil,14.25,Youth,2025-06-13,1,0,0,0,0,0,1
NY-CMP-1125,Paid Ads,College Students,28.0,19354.0,637.0,246.0,74.0,33522.0,1025.97,3167.3469984502467,English,4.94,Premium Shoppers,2024-12-15,0,1,1,0,1,0,0
NY-CMP-1127,Influencer,Premium Shoppers,18.0,29617.0,2372.0,865.0,538.0,368530.0,168.8,218223.45971563982,Tamil,12.75,College Students,2025-01-20,1,0,0,0,0,1,0
NY-CMP-1128,SEO,Premium Shoppers,27.0,25041.0,3511.0,991.0,379.0,223231.0,598.76,37182.21658093393,Hindi,19.49,Working Women,2024-12-04,0,1,0,0,1,0,0
NY-CMP-1129,Social Media,Working Women,11.0,78990.0,2360.0,1125.0,732.0,453840.0,347.66,130441.33348673992,Hindi,5.34,Youth,2025-05-21,1,1,0,1,0,0,0
NY-CMP-1130,Email,Youth,30.0,88461.0,2327.0,999.0,358.0,100956.0,410.1,24517.41038771031,Hindi,4.16,Youth,2025-05-01,0,0,1,0,0,0,0
NY-CMP-1133,Paid Ads,Premium Shoppers,18.0,79948.0,1641.0,630.0,499.0,279440.0,465.08,59984.2865743528,Tamil,3.46,Working Women,2024-11-24,1,0,1,0,0,0,0
NY-CMP-1137,Influencer,Working Women,21.0,23866.0,1157.0,471.0,295.0,98530.0,542.93,18047.827528410664,Tamil,8.06,Premium Shoppers,2025-01-22,0,0,1,0,1,0,0
NY-CMP-1139,Social Media,Tier 2 City Customers,23.0,26385.0,2511.0,940.0,434.0,199640.0,653.94,30428.7946906444,Hindi,14.72,Premium Shoppers,2025-02-24,0,0,1,0,0,0,0
NY-CMP-1140,Email,Premium Shoppers,5.0,68710.0,8506.0,4996.0,3472.0,2249856.0,38.16,5895749.056603774,Tamil,24.7,Tier 2 City Customers,2025-05-30,1,1,1,0,0,0,1
NY-CMP-1141,Email,Premium Shoppers,17.0,66210.0,5609.0,2776.0,1529.0,518331.0,101.69,509616.78631133836,Tamil,14.97,College Students,2025-05-30,1,0,0,1,0,1,0
NY-CMP-1145,Influencer,Youth,20.0,54685.0,5423.0,2255.0,1052.0,724828.0,279.17,259536.78045635275,Hindi,15.96,Youth,2025-01-12,1,0,0,0,1,0,0
NY-CMP-1146,Paid Ads,Premium Shoppers,15.0,40445.0,2689.0,1201.0,814.0,351648.0,75.35,466586.13138686144,Hindi,11.63,College Students,2024-11-19,1,0,1,0,0,0,0
NY-CMP-1147,Influencer,Premium Shoppers,18.0,45821.0,2552.0,965.0,733.0,433936.0,245.74,176483.38080898512,Bengali,9.28,Premium Shoppers,2024-12-06,1,1,0,1,0,0,0
NY-CMP-1149,Influencer,Tier 2 City Customers,20.0,82365.0,9920.0,2972.0,2086.0,1410136.0,43.11,3270918.325214567,Hindi,18.18,College Students,2025-02-17,1,1,1,0,0,0,1
NY-CMP-1150,SEO,Premium Shoppers,7.0,68867.0,5342.0,2966.0,1331.0,806586.0,174.47,462206.4137100934,Tamil,14.0,Working Women,2024-07-27,1,1,1,0,0,0,1
NY-CMP-1151,Influencer,College Students,13.0,28582.0,2086.0,630.0,411.0,286467.0,590.9,48379.77661194788,English,10.94,Premium Shoppers,2025-03-30,1,1,0,0,0,0,0
NY-CMP-1152,Social Media,Tier 2 City Customers,5.0,51059.0,4666.0,1088.0,708.0,489228.0,175.27,279028.2022023164,English,12.66,Tier 2 City Customers,2024-12-11,1,0,1,0,1,1,0
NY-CMP-1153,Email,College Students,24.0,45295.0,1953.0,473.0,282.0,126618.0,1037.53,12103.791697589468,English,5.98,Youth,2024-12-19,0,0,0,1,0,0,0
NY-CMP-1155,Social Media,Working Women,19.0,69264.0,4578.0,2686.0,1713.0,426537.0,68.25,624862.6373626373,Tamil,12.96,Premium Shoppers,2024-10-17,1,1,0,0,0,0,0
NY-CMP-1160,Paid Ads,Tier 2 City Customers,30.0,63757.0,7705.0,2853.0,2135.0,1505175.0,121.85,1235168.7730816577,Bengali,19.91,Working Women,2024-07-30,1,1,0,0,1,0,1
NY-CMP-1164,SEO,Youth,17.0,88983.0,3681.0,1549.0,1150.0,326600.0,259.94,125544.37947218589,Hindi,7.17,Working Women,2025-03-31,1,1,0,0,0,0,0
NY-CMP-1167,Paid Ads,Tier 2 City Customers,10.0,25223.0,1517.0,427.0,205.0,151495.0,1092.03,13772.787377636147,Bengali,8.52,Premium Shoppers,2025-03-19,0,1,0,0,0,0,0
NY-CMP-1168,Social Media,College Students,24.0,48451.0,4172.0,1639.0,744.0,575856.0,194.41,296106.98523738486,English,13.53,Tier 2 City Customers,2024-08-23,1,0,0,1,1,0,0
NY-CMP-1169,Influencer,College Students,8.0,65218.0,3095.0,1207.0,605.0,203280.0,157.55,128925.70612503967,Tamil,7.52,Youth,2025-03-30,1,0,0,0,0,1,0
NY-CMP-1171,Paid Ads,College Students,15.0,52106.0,6537.0,3340.0,2149.0,530803.0,87.02,609878.1659388647,Bengali,23.08,Tier 2 City Customers,2025-06-14,1,1,0,1,0,0,1
NY-CMP-1172,SEO,Premium Shoppers,16.0,47178.0,5999.0,1619.0,787.0,208555.0,108.26,192542.71198965452,English,17.82,Working Women,2024-09-05,1,0,0,1,0,1,1
NY-CMP-1173,Social Media,College Students,20.0,36818.0,4147.0,1962.0,821.0,605077.0,285.43,211887.87793854886,English,18.82,Premium Shoppers,2024-10-30,1,0,0,0,1,1,0
NY-CMP-1175,Email,Premium Shoppers,24.0,86278.0,8468.0,2627.0,894.0,313794.0,209.55,149646.59985683605,Bengali,13.9,Working Women,2025-01-06,1,1,0,1,0,0,0
NY-CMP-1177,SEO,Working Women,6.0,19321.0,2135.0,842.0,668.0,315296.0,288.51,109184.25357873211,English,18.87,Tier 2 City Customers,2025-05-31,1,1,0,0,1,1,0
NY-CMP-1179,Paid Ads,College Students,12.0,65938.0,3288.0,787.0,503.0,308842.0,584.84,52707.947472813066,Bengali,6.94,Working Women,2024-11-14,1,0,0,0,0,1,0
NY-CMP-1183,Email,Premium Shoppers,6.0,90785.0,7279.0,3900.0,2596.0,1056572.0,43.42,2433276.3242745283,Hindi,15.17,Working Women,2024-12-31,1,0,0,0,0,1,0
NY-CMP-1187,SEO,Premium Shoppers,24.0,90982.0,3250.0,1622.0,1245.0,750735.0,142.18,527917.3020115346,English,6.72,Tier 2 City Customers,2025-02-03,1,1,0,1,0,0,0
NY-CMP-1188,Paid Ads,Working Women,26.0,32842.0,4033.0,1838.0,1444.0,1121988.0,191.29,586437.7176015474,Tamil,22.27,Tier 2 City Customers,2024-11-29,1,0,1,1,0,0,1
NY-CMP-1189,Social Media,Youth,28.0,32021.0,3377.0,1323.0,474.0,179172.0,395.56,45195.78319344726,Tamil,16.16,Premium Shoppers,2025-05-05,0,1,0,1,0,0,1
NY-CMP-1190,SEO,Youth,15.0,36796.0,1581.0,774.0,302.0,89392.0,638.87,13892.204986930048,English,7.22,College Students,2024-11-16,0,0,0,0,0,0,1
NY-CMP-1193,Social Media,Working Women,9.0,52151.0,4951.0,1155.0,718.0,464546.0,255.1,182003.48882791062,Bengali,13.09,College Students,2025-04-18,1,0,1,0,0,1,1
NY-CMP-1196,SEO,College Students,16.0,82471.0,5797.0,3251.0,1940.0,1369640.0,101.63,1347572.9312210963,English,13.32,Tier 2 City Customers,2025-05-30,1,0,1,0,0,0,0
NY-CMP-1199,Influencer,Working Women,14.0,23232.0,1381.0,498.0,269.0,101413.0,931.68,10784.960501459731,Tamil,9.25,Working Women,2025-05-11,0,0,0,0,1,0,0
NY-CMP-1204,SEO,College Students,26.0,64756.0,8778.0,2316.0,1252.0,373096.0,85.43,436627.1450310195,Hindi,19.07,College Students,2024-08-24,1,1,0,0,1,0,0
NY-CMP-1206,SEO,Youth,25.0,87064.0,3404.0,1029.0,342.0,144666.0,375.62,38413.92364623822,Hindi,5.48,Premium Shoppers,2025-04-14,1,0,0,0,0,1,0
NY-CMP-1207,Social Media,College Students,27.0,83040.0,4982.0,1900.0,1479.0,535398.0,130.18,411175.1574742663,Tamil,10.07,Youth,2024-10-31,1,0,1,0,0,0,0
NY-CMP-1210,Paid Ads,Working Women,21.0,98384.0,13210.0,3339.0,1900.0,1003200.0,147.05,682116.9330159809,Bengali,18.75,Tier 2 City Customers,2025-02-24,1,1,1,0,1,0,0
NY-CMP-1212,Social Media,Premium Shoppers,17.0,17785.0,1035.0,373.0,284.0,59072.0,258.37,22763.33552657042,Bengali,9.51,Tier 2 City Customers,2025-04-13,0,0,0,0,0,1,0
NY-CMP-1214,Social Media,College Students,23.0,69000.0,7302.0,2144.0,1012.0,713460.0,216.59,329305.7897409853,Hindi,15.16,Tier 2 City Customers,2024-07-24,1,1,1,0,0,0,0
NY-CMP-1216,Social Media,Working Women,8.0,71554.0,1805.0,579.0,460.0,315100.0,448.44,70165.81036482027,Bengali,3.97,Premium Shoppers,2025-02-08,1,0,0,1,0,0,0
NY-CMP-1217,Social Media,Premium Shoppers,16.0,51553.0,1928.0,775.0,394.0,171390.0,672.55,25383.607166753405,Hindi,6.01,Working Women,2025-01-15,0,0,0,0,1,0,1
NY-CMP-1224,Influencer,Tier 2 City Customers,13.0,44442.0,5786.0,1313.0,784.0,164640.0,87.93,187139.84988058681,Bengali,17.74,Premium Shoppers,2024-09-15,1,0,1,1,0,1,0
NY-CMP-1227,SEO,Tier 2 City Customers,30.0,99718.0,14868.0,8876.0,4926.0,2827524.0,12.27,23044105.378973104,English,28.75,College Students,2024-10-17,1,1,1,0,0,1,0
NY-CMP-1228,Social Media,Working Women,22.0,37252.0,796.0,167.0,129.0,69531.0,1806.61,3748.70005147763,Bengali,2.93,Youth,2024-11-13,0,1,0,1,1,0,0
NY-CMP-1233,Social Media,College Students,9.0,94001.0,12169.0,3150.0,967.0,703009.0,123.04,571266.22236671,Hindi,17.33,Premium Shoppers,2024-09-04,1,1,0,0,0,0,0
NY-CMP-1234,Influencer,Youth,28.0,24636.0,2511.0,1460.0,1064.0,677768.0,278.38,243368.6399885049,English,20.44,Working Women,2024-07-18,1,1,0,0,0,1,0
NY-CMP-1235,Influencer,Working Women,6.0,55021.0,6860.0,3744.0,1344.0,1024128.0,124.11,825077.6649746193,Tamil,21.72,Youth,2025-02-15,1,0,1,1,1,0,0
NY-CMP-1238,Social Media,Premium Shoppers,5.0,84881.0,8195.0,3269.0,1135.0,676460.0,145.98,463292.24551308405,English,14.84,College Students,2025-06-03,1,1,0,1,0,1,0
NY-CMP-1240,Paid Ads,Youth,25.0,84708.0,3733.0,1601.0,1059.0,321936.0,55.26,582484.1476655809,Tamil,7.55,Working Women,2025-05-18,1,0,1,1,0,0,0
NY-CMP-1245,Social Media,Premium Shoppers,30.0,35819.0,2513.0,1247.0,544.0,111520.0,324.24,34294.275845053045,Bengali,12.02,Premium Shoppers,2025-01-06,0,0,0,0,1,0,1
NY-CMP-1246,Paid Ads,Working Women,12.0,44138.0,5531.0,1679.0,562.0,159046.0,399.45,39716.247340092625,Tamil,17.61,Youth,2024-08-03,0,0,0,0,1,1,0
NY-CMP-1247,Paid Ads,Working Women,11.0,60321.0,2514.0,527.0,339.0,213231.0,279.59,76165.6032046926,Hindi,5.6,College Students,2025-02-19,1,0,0,0,1,1,1
NY-CMP-1248,Paid Ads,Tier 2 City Customers,6.0,51089.0,2937.0,1760.0,1348.0,624124.0,94.97,657080.1621564705,Tamil,11.83,Premium Shoppers,2024-09-23,1,0,0,0,1,1,1
NY-CMP-1249,Influencer,Premium Shoppers,6.0,74805.0,9095.0,2883.0,1924.0,463684.0,50.52,917722.6444972288,Bengali,18.58,Premium Shoppers,2025-02-12,1,1,0,0,0,0,0
NY-CMP-1255,Paid Ads,Premium Shoppers,7.0,20894.0,477.0,193.0,141.0,42441.0,492.89,8510.643348414455,Bengali,3.88,Tier 2 City Customers,2025-03-21,0,0,0,0,0,0,1
NY-CMP-1258,SEO,College Students,11.0,49248.0,1949.0,1026.0,499.0,286925.0,387.99,73851.64823835665,Tamil,7.05,Working Women,2025-03-24,1,0,1,0,0,1,0
NY-CMP-1260,Influencer,Working Women,21.0,89990.0,3505.0,1793.0,1074.0,751800.0,259.5,289610.9826589595,Tamil,7.08,Youth,2024-10-27,1,0,1,1,0,0,1
NY-CMP-1263,Paid Ads,Youth,13.0,91560.0,10243.0,2457.0,1139.0,271082.0,236.57,114488.49389187133,English,15.11,Premium Shoppers,2024-10-09,1,0,0,1,0,1,0
NY-CMP-1266,Social Media,Tier 2 City Customers,11.0,39008.0,1024.0,417.0,282.0,170610.0,208.64,81672.4309815951,English,4.42,Working Women,2025-02-23,1,1,1,0,0,0,1
NY-CMP-1267,Email,Tier 2 City Customers,16.0,85319.0,5490.0,3051.0,1666.0,982940.0,35.63,2758642.6326129665,Tamil,11.96,Premium Shoppers,2024-09-19,1,0,1,0,1,0,0
NY-CMP-1268,Paid Ads,Premium Shoppers,16.0,83312.0,7037.0,3321.0,2489.0,569981.0,37.95,1501826.2187088274,English,15.42,Working Women,2025-04-09,1,0,1,0,0,1,0
NY-CMP-1269,Email,College Students,22.0,67078.0,4522.0,1999.0,1516.0,591240.0,122.57,482269.25838296494,Hindi,11.98,Youth,2025-02-15,1,0,1,0,0,1,0
NY-CMP-1270,Email,Youth,14.0,60317.0,2337.0,924.0,356.0,86152.0,607.23,14087.704823542976,English,6.0,Premium Shoppers,2024-09-25,0,0,0,0,0,0,1
NY-CMP-1273,SEO,Youth,24.0,98542.0,13381.0,4936.0,1982.0,1393346.0,48.07,2898477.075098814,English,20.6,College Students,2024-08-08,1,1,1,0,0,1,0
NY-CMP-1279,Social Media,Tier 2 City Customers,12.0,29025.0,3970.0,1528.0,715.0,536965.0,165.11,325116.52231845434,Bengali,21.41,Youth,2024-10-12,1,0,0,0,0,0,1
NY-CMP-1282,Email,College Students,25.0,56016.0,3091.0,1486.0,1135.0,500535.0,201.94,247763.2267010003,Bengali,10.2,College Students,2024-12-07,1,0,0,0,1,1,0
NY-CMP-1283,Email,Tier 2 City Customers,13.0,19220.0,1653.0,651.0,282.0,112518.0,859.57,12990.033388787415,Tamil,13.45,Tier 2 City Customers,2024-11-05,0,0,1,0,1,0,1
NY-CMP-1284,Influencer,College Students,24.0,35278.0,3716.0,1618.0,730.0,182500.0,85.94,212257.45869211078,Hindi,17.19,Premium Shoppers,2024-09-01,1,0,1,1,0,1,0
NY-CMP-1287,SEO,Premium Shoppers,22.0,91042.0,10498.0,4250.0,2279.0,1620369.0,48.41,3347078.268952696,Bengali,18.7,Premium Shoppers,2025-01-28,1,0,0,1,1,0,1
NY-CMP-1288,Paid Ads,College Students,17.0,61525.0,6343.0,1928.0,1119.0,447600.0,105.67,423482.85227595345,English,15.26,College Students,2025-02-20,1,0,1,0,0,1,1
NY-CMP-1289,Paid Ads,Tier 2 City Customers,27.0,74488.0,4731.0,2727.0,1189.0,439930.0,126.21,348469.8439109421,Bengali,11.61,Tier 2 City Customers,2024-11-16,1,1,0,0,0,0,0
NY-CMP-1292,Social Media,Working Women,22.0,28876.0,1886.0,1050.0,417.0,126351.0,274.12,45993.31679556399,English,11.61,Youth,2025-01-12,1,0,0,1,0,1,1
NY-CMP-1294,Social Media,Tier 2 City Customers,15.0,85396.0,9341.0,4162.0,2304.0,737280.0,120.88,609827.2005294507,Tamil,18.51,Premium Shoppers,2025-05-29,1,0,1,1,0,0,0
NY-CMP-1296,Email,College Students,13.0,80276.0,2108.0,784.0,377.0,195286.0,285.85,68217.64911666958,Hindi,4.07,Working Women,2025-01-17,1,0,1,0,0,0,0
NY-CMP-1297,Social Media,Working Women,28.0,11775.0,678.0,333.0,151.0,72782.0,1900.84,3728.938784958229,English,9.87,Youth,2024-11-08,0,1,1,0,1,0,0
NY-CMP-1299,Email,Youth,30.0,40717.0,1371.0,766.0,320.0,80320.0,408.68,19553.51864539493,Bengali,6.03,Premium Shoppers,2025-02-10,0,0,1,0,0,0,1
NY-CMP-1303,SEO,Tier 2 City Customers,12.0,57286.0,3832.0,1225.0,694.0,525358.0,144.47,363545.04741468816,Bengali,10.04,College Students,2025-01-20,1,1,1,1,0,0,0
NY-CMP-1304,Paid Ads,Youth,8.0,20748.0,1524.0,890.0,672.0,321216.0,210.07,152809.0303232256,Tamil,14.87,Premium Shoppers,2025-02-08,1,1,1,0,0,0,0
NY-CMP-1307,Paid Ads,College Students,28.0,55784.0,1715.0,552.0,401.0,119097.0,702.72,16848.002049180326,Hindi,4.78,College Students,2025-03-23,0,0,0,1,1,0,0
NY-CMP-1316,SEO,Youth,18.0,75593.0,11146.0,6267.0,3681.0,1825776.0,20.14,9065322.045680238,Hindi,27.9,Tier 2 City Customers,2025-05-25,1,0,0,0,1,0,1
NY-CMP-1322,Social Media,Premium Shoppers,21.0,34224.0,2701.0,865.0,307.0,113590.0,571.56,19773.679053817625,Bengali,11.32,Tier 2 City Customers,2025-01-16,0,0,0,0,0,1,0
NY-CMP-1325,Social Media,Working Women,6.0,57738.0,6835.0,3804.0,1267.0,918575.0,113.24,811075.379724479,English,20.62,Premium Shoppers,2025-05-01,1,1,0,0,0,0,0
NY-CMP-1330,Email,Youth,13.0,89786.0,3987.0,1097.0,333.0,146187.0,570.86,25508.20516413832,Tamil,6.03,Working Women,2025-05-31,0,0,0,1,0,1,0
NY-CMP-1331,Paid Ads,Premium Shoppers,17.0,99499.0,2514.0,591.0,191.0,94163.0,1349.16,6879.379762222419,Tamil,3.31,Working Women,2024-09-13,0,0,1,0,0,1,0
